VIC,ShortName,Description,HorizontalActive,VerticalActive,VerticalHz,PixelMHz,HorizontalTotal,VerticalTotal,Native,,,,,,,,,,,
120,2160p120,3840x2160p @ 119.88/120Hz ,3840,2160,119.88/120,1188,4400,2250,no,,,,,,,,,,,
121,2160p2x24,5120x2160p @ 23.98Hz/24Hz ,5120,2160,23.98/24,396,7500,2200,no,,,,,,,,,,,
122,2160p2x25,5120x2160p @ 25Hz ,5120,2160,25,396,7200,2200,no,,,,,,,,,,,
123,2160p2x30,5120x2160p @ 29.97Hz/30Hz ,5120,2160,29.97/30,396,6000,2200,no,,,,,,,,,,,
124,2160p2x48,5120x2160p @ 47.95Hz/48Hz ,5120,2160,47.96/48,742.5,6250,2450,no,,,,,,,,,,,
125,2160p2x50,5120x2160p @ 50Hz ,5120,2160,50,742.5,6600,2250,no,,,,,,,,,,,
126,2160p2x,5120x2160p @ 59.94Hz/60Hz ,5120,2160,60,742.5,5500,2250,no,,,,,,,,,,,
127,2160p2x100,5120x2160p @ 100Hz ,5120,2160,100,1485,6600,2250,no,,,,,,,,,,,
128,Reserved,Reserved,0,0,0,0,0,0,no,,,,,,,,,,,
129,DMT0659,640x480p @ 59.94/60Hz ,640,480,59.94,25.175,800,525,yes,,,,,,,,,,,
130,480p,720x480p @ 59.94/60Hz ,720,480,59.94,27,858,525,yes,,,,,,,,,,,
131,480pH,720x480p @ 59.94/60Hz ,720,480,59.94,27,858,525,yes,,,,,,,,,,,
132,720p,1280x720p @ 59.94/60Hz ,1280,720,60,74.25,1650,750,yes,,,,,,,,,,,
133,1080i,1920x1080i @ 59.94/60Hz ,1920,540,60,74.25,2200,562.5,yes,,,,,,,,,,,
134,480i,720(1440)x480i @ 59.94/60Hz ,1440,240,59.94,27,1716,262.5,yes,,,,,,,,,,,
135,480iH,720(1440)x480i @ 59.94/60Hz ,1440,240,59.94,27,1716,262.5,yes,,,,,,,,,,,
136,240p,720(1440)x240p @ 59.94/60Hz ,1440,240,59.826,27,1716,262.5,yes,,,,,,,,,,,
137,240pH,720(1440)x240p @ 59.94/60Hz ,1440,240,59.826,27,1716,262.5,yes,,,,,,,,,,,
138,480i4x,2880x480i @ 59.94/60Hz ,2880,240,59.94,54,3432,262.5,yes,,,,,,,,,,,
139,480i4xH,2880x480i @ 59.94/60Hz ,2880,240,59.94,54,3432,262.5,yes,,,,,,,,,,,
140,240p4x,2880x240p @ 59.94/60Hz ,2880,240,60,54,3432,262.5,yes,,,,,,,,,,,
141,240p4xH,2880x240p @ 59.94/60Hz ,2880,240,60,54,3432,262.5,yes,,,,,,,,,,,
142,480p2x,1440x480p @ 59.94/60Hz ,1440,480,59.94,54,1716,525,yes,,,,,,,,,,,
143,480p2xH,1440x480p @ 59.94/60Hz ,1440,480,59.94,54,1716,525,yes,,,,,,,,,,,
144,1080p,1920x1080p @ 59.94/60Hz ,1920,1080,60,148.5,2200,1125,yes,,,,,,,,,,,
145,576p,720x576p @ 50Hz ,720,576,50,27,864,625,yes,,,,,,,,,,,
